item,id_tweet,moment,H1,H2,H3,Grok,Gemini,reference,configuration,terme_lexique,termes_trouves
55,1997445258477551774,avant,2,2,0,2,2,2,majorité 2-1,0,
56,1997445278903734560,avant,2,2,2,2,2,2,unanimité,0,
57,1997445320418980147,avant,2,2,0,0,0,2,majorité 2-1,0,
58,1997445331722666115,avant,0,0,0,0,0,0,unanimité,0,
59,1997445468029440184,avant,0,0,0,0,0,0,unanimité,0,
60,1997445674519191764,avant,2,2,0,0,0,2,majorité 2-1,0,
61,1997445795113836959,avant,0,0,0,0,0,0,unanimité,0,
62,1997445812079476971,avant,0,0,0,0,0,0,unanimité,0,
63,1997445835291087074,avant,2,2,0,2,2,2,majorité 2-1,0,
64,1997445910473621884,avant,2,2,0,0,0,2,majorité 2-1,0,
65,1997445937418137912,avant,0,0,0,0,0,0,unanimité,0,
66,1997446218012627203,avant,2,2,0,0,0,2,majorité 2-1,0,
67,1997446323600306526,avant,0,0,0,0,0,0,unanimité,0,
68,1997446564856373319,avant,2,0,0,2,0,0,majorité 2-1,0,
69,1997446583986569625,avant,2,2,0,2,0,2,majorité 2-1,0,
70,1997446778195484676,avant,0,0,0,2,2,0,unanimité,0,
71,1997446899511578874,avant,0,0,0,0,0,0,unanimité,0,
72,1997446901533380724,avant,0,0,0,0,0,0,unanimité,0,
73,1997446945606906080,avant,0,0,0,0,0,0,unanimité,0,
74,1997446999134654630,avant,2,2,0,2,0,2,majorité 2-1,0,
75,1997447034815627337,avant,0,0,0,0,0,0,unanimité,0,
76,1997447071293714810,avant,2,2,0,0,0,2,majorité 2-1,0,
77,1997447154756182490,avant,0,0,0,0,0,0,unanimité,0,
78,1997447178512474295,avant,0,0,0,0,0,0,unanimité,0,
79,1997447202256621584,avant,0,0,0,0,0,0,unanimité,0,
80,1997447372897452240,avant,0,0,0,0,0,0,unanimité,0,
81,1997447698320863389,avant,0,0,0,2,0,0,unanimité,0,
82,1997447697314586843,avant,0,0,0,0,0,0,unanimité,0,
83,1997447927422488664,avant,0,0,0,0,0,0,unanimité,0,
84,1997448112219304262,avant,1,1,1,1,1,1,unanimité,1,conne
85,1997448271761949153,avant,0,0,0,0,0,0,unanimité,0,
86,1997448399461941744,avant,0,0,0,0,0,0,unanimité,0,
87,1997448403656331705,avant,0,0,0,0,0,0,unanimité,0,
88,1997448418873213139,avant,0,0,0,0,0,0,unanimité,0,
89,1997448496010678342,avant,2,0,0,0,0,0,majorité 2-1,0,
90,1997448810457682013,avant,2,2,0,2,2,2,majorité 2-1,0,
91,1997448983984353406,avant,0,0,0,2,0,0,unanimité,0,
92,1997449142566871485,avant,2,2,0,2,0,2,majorité 2-1,0,
93,1997449241837650322,avant,0,0,0,2,0,0,unanimité,0,
94,1997449491549397255,avant,0,0,0,0,0,0,unanimité,0,
95,1997449603109605702,avant,2,1,2,2,0,2,majorité 2-1,0,
96,1997451450327105628,avant,0,0,0,0,0,0,unanimité,0,
97,1997451923482374333,avant,0,0,0,0,0,0,unanimité,0,
98,1997451927366545661,avant,0,0,0,0,0,0,unanimité,0,
99,1997451951735222303,avant,0,0,0,0,0,0,unanimité,0,
100,1997452001450615225,avant,0,0,0,0,0,0,unanimité,0,
101,1997452421866328570,après,2,2,2,0,0,2,unanimité,0,
102,1997452436722929894,après,0,0,0,0,0,0,unanimité,0,
103,1997452438224162957,après,2,0,0,1,0,0,majorité 2-1,1,folle
104,1997452441839927635,après,0,0,0,0,0,0,unanimité,0,
105,1997452462077440479,après,2,2,0,0,0,2,majorité 2-1,0,
106,1997452494755275171,après,0,0,0,0,0,0,unanimité,0,
107,1997452495128584429,après,0,0,0,0,0,0,unanimité,0,
108,1997452533241950484,après,2,0,0,0,0,0,majorité 2-1,0,
109,1997452547309928704,après,0,0,0,0,0,0,unanimité,0,
110,1997452567790391379,après,2,2,2,0,0,2,unanimité,0,
111,1997452581149478950,après,0,0,0,0,0,0,unanimité,0,
112,1997452599037927672,après,0,0,0,0,0,0,unanimité,0,
113,1997452620236218797,après,0,0,0,0,0,0,unanimité,0,
114,1997452634568200202,après,0,0,0,0,0,0,unanimité,0,
115,1997452638426997097,après,0,0,0,0,0,0,unanimité,0,
116,1997452642554134889,après,0,0,0,0,0,0,unanimité,0,
117,1997452642323398923,après,0,0,0,0,0,0,unanimité,0,
118,1997452645338857515,après,0,0,0,0,0,0,unanimité,0,
119,1997452658433765624,après,0,0,0,0,0,0,unanimité,0,
120,1997452665459265976,après,0,0,0,0,0,0,unanimité,0,
121,1997452671662674394,après,0,0,0,0,0,0,unanimité,0,
122,1997452674657407060,après,0,0,0,0,0,0,unanimité,0,
123,1997452696035717308,après,0,0,0,0,0,0,unanimité,0,
124,1997452706818961638,après,0,0,0,0,0,0,unanimité,0,
125,1997452707637137772,après,0,0,0,0,0,0,unanimité,0,
126,1997452709637820852,après,0,0,0,0,0,0,unanimité,0,
127,1997452766051008593,après,2,0,0,0,0,0,majorité 2-1,0,
128,1997452763551207905,après,0,0,0,0,0,0,unanimité,0,
129,1997452814965231707,après,2,0,0,0,0,0,majorité 2-1,0,
130,1997452816617767056,après,0,0,0,0,0,0,unanimité,0,
131,1997452828600656178,après,0,0,0,0,0,0,unanimité,0,
132,1997452831952187554,après,0,0,0,0,0,0,unanimité,0,
133,1997452854521368824,après,0,0,0,0,0,0,unanimité,0,
134,1997452867083677711,après,0,0,0,0,0,0,unanimité,0,
135,1997452871248621684,après,0,0,0,0,0,0,unanimité,0,
136,1997452871584063586,après,0,0,0,0,0,0,unanimité,0,
137,1997452885546930619,après,0,0,0,0,0,0,unanimité,0,
138,1997452885987295340,après,2,0,0,0,0,0,majorité 2-1,0,
139,1997452910633128073,après,0,0,0,0,0,0,unanimité,0,
140,1997452920401621252,après,0,0,0,0,0,0,unanimité,0,
141,1997452931000353191,après,0,0,0,0,0,0,unanimité,0,
142,1997452956107673974,après,0,0,0,0,0,0,unanimité,0,
143,1997452958062236121,après,0,0,0,0,0,0,unanimité,0,
144,1997452955587666187,après,0,0,0,0,0,0,unanimité,0,
145,1997452965494546439,après,0,0,0,0,0,0,unanimité,0,
146,1997452969865101373,après,0,0,0,0,0,0,unanimité,0,
147,1997452967654699097,après,0,0,0,0,0,0,unanimité,0,
148,1997453007857029578,après,0,0,0,0,0,0,unanimité,0,
149,1997453012642779301,après,0,0,0,0,0,0,unanimité,0,
150,1997453029377966478,après,2,0,0,0,0,0,majorité 2-1,0,
151,1997453045081518445,après,2,0,0,0,0,0,majorité 2-1,0,
152,1997453056364167193,après,0,0,0,0,0,0,unanimité,0,
153,1997453058813690288,après,0,0,0,0,0,0,unanimité,0,
154,1997453087775322498,après,0,0,0,0,0,0,unanimité,0,
155,1997453113385750889,après,2,2,0,0,0,2,majorité 2-1,0,
156,1997453151138689517,après,0,0,0,0,0,0,unanimité,0,
157,1997453160328134729,après,0,0,0,0,0,0,unanimité,0,
158,1997453170054959435,après,2,0,0,0,0,0,majorité 2-1,0,
159,1997453213583503461,après,0,0,0,0,0,0,unanimité,0,
160,1997453239537819790,après,0,0,0,0,0,0,unanimité,0,
161,1997453245376282852,après,0,0,0,0,0,0,unanimité,0,
162,1997453261838917882,après,0,0,0,0,0,0,unanimité,0,
163,1997453282521018432,après,0,0,0,0,0,0,unanimité,0,
164,1997453282185474333,après,0,0,0,0,0,0,unanimité,0,
165,1997453331363672482,après,0,0,0,0,0,0,unanimité,0,
166,1997453369443598771,après,0,0,0,0,0,0,unanimité,0,
167,1997453402184585588,après,2,0,0,2,0,0,majorité 2-1,0,
168,1997453426389660031,après,0,0,0,0,0,0,unanimité,0,
169,1997453436879831163,après,0,0,0,0,0,0,unanimité,0,
170,1997453544673464745,après,0,0,0,0,0,0,unanimité,0,
171,1997453554022539650,après,0,0,0,0,0,0,unanimité,0,
172,1997453555385405853,après,2,2,0,0,0,2,majorité 2-1,0,
173,1997453589036343800,après,0,0,0,0,0,0,unanimité,0,
174,1997453607738716207,après,0,0,0,0,0,0,unanimité,0,
175,1997453624746852559,après,0,0,0,0,0,0,unanimité,0,
176,1997453626760143223,après,2,0,0,0,0,0,majorité 2-1,0,
177,1997453725959643607,après,2,2,0,0,0,2,majorité 2-1,0,
178,1997453821308781026,après,0,0,0,0,0,0,unanimité,0,
179,1997453934185902092,après,0,0,0,0,0,0,unanimité,0,
180,1997454029480513847,après,0,0,0,0,0,0,unanimité,0,
181,1997454036174282947,après,0,0,0,0,0,0,unanimité,0,
182,1997454039244820880,après,2,0,0,2,2,0,majorité 2-1,0,
183,1997454057879859451,après,0,0,0,0,0,0,unanimité,0,
184,1997454143699775819,après,0,0,0,0,0,0,unanimité,0,
185,1997454340588785681,après,0,0,0,0,0,0,unanimité,0,
186,1997454372176052565,après,0,0,0,0,0,0,unanimité,0,
187,1997454371437555958,après,0,0,0,0,0,0,unanimité,0,
188,1997454384276611278,après,0,0,0,0,0,0,unanimité,0,
189,1997454415108689941,après,0,0,0,0,0,0,unanimité,0,
190,1997454519274508351,après,0,0,0,0,0,0,unanimité,0,
191,1997454551281242258,après,0,0,0,0,0,0,unanimité,0,
192,1997454655459406056,après,0,0,0,2,0,0,unanimité,0,
193,1997454766486794618,après,0,0,0,0,0,0,unanimité,0,
194,1997454889669087370,après,0,0,0,0,0,0,unanimité,0,
195,1997454935441785140,après,0,0,0,0,0,0,unanimité,0,
196,1997455119307424182,après,0,0,0,0,0,0,unanimité,0,
197,1997455597827133944,après,0,0,0,0,0,0,unanimité,0,
198,1997455766429540567,après,0,0,0,0,0,0,unanimité,0,
199,1997455943370736087,après,0,0,0,0,0,0,unanimité,0,
200,1997456001902301187,après,0,0,0,0,0,0,unanimité,0,
