item,id_tweet,type,terme_declencheur,H1,H2,H3,Grok,Gemini,majorite_humaine,reference_finale,configuration
174,2065054256713859197,hostile,gonzesse,1,1,2,1,1,1,1,majorité 2-1
175,2067242527783002287,objectifiant_ou_sexuel,minijupe,2,2,2,2,0,2,2,unanimité
176,2064777944833073449,hostile,blondasse,1,1,2,1,1,1,1,majorité 2-1
177,2063335585373118903,paternaliste,vieille_fille,1,1,1,1,1,1,1,unanimité
178,2065072568801829090,hostile,pute,1,0,1,1,1,1,1,majorité 2-1
179,2047408553653096618,anti_feministe_politique,féministe_moderne,1,1,2,1,1,1,1,majorité 2-1
180,2064995071150194698,hostile,décérébrée,0,0,2,0,0,0,0,majorité 2-1
181,2066895805207007690,incel,plans_cul,0,0,0,0,0,0,0,unanimité
182,2064635573113958491,hostile,cagole,1,1,2,1,1,1,1,majorité 2-1
183,2065020728890573248,hostile,nympho,1,1,0,0,0,1,1,majorité 2-1
184,2067492620838764557,anti_feministe_politique,masculinisme,0,0,0,0,0,0,0,unanimité
185,2066491085174575334,objectifiant_ou_sexuel,allumeuse,1,0,1,1,1,1,1,majorité 2-1
186,2065235471496609949,objectifiant_ou_sexuel,bonne_à_baiser,1,1,2,1,1,1,1,majorité 2-1
187,2065085366965612804,paternaliste,ma_petite,0,0,0,0,0,0,0,unanimité
188,2063579942655344940,anti_feministe_politique,néo-féminisme,0,0,0,0,0,0,0,unanimité
189,2065001212160663812,paternaliste,bécasse,1,1,2,1,1,1,1,majorité 2-1
190,2062103868792562060,objectifiant_ou_sexuel,imbaisable,1,0,0,0,0,0,0,majorité 2-1
191,2067551583273992594,objectifiant_ou_sexuel,pouffe,2,1,2,0,0,2,2,majorité 2-1
192,2064838356962345042,hostile,émotive,0,0,0,0,0,0,0,unanimité
193,2053777257936593291,anti_feministe_politique,homme_moderne,0,0,2,0,0,0,0,majorité 2-1
194,2065587429147345254,anti_feministe_politique,féminisme_moderne,1,1,2,2,0,1,1,majorité 2-1
195,2064635981962043646,hostile,émotive,1,1,0,0,0,1,1,majorité 2-1
196,2065044088240431203,hostile,truie,1,1,2,1,1,1,1,majorité 2-1
197,2067609953464881657,paternaliste,ma_pauvre,1,0,2,1,0,,0,éclaté / égalité
198,2067559199035326832,objectifiant_ou_sexuel,bonne_à_baiser,2,2,1,1,1,2,2,majorité 2-1
199,2065046460387696837,hostile,décérébrée,1,1,1,1,1,1,1,unanimité
200,2067584842171084838,anti_feministe_politique,patriarche,2,0,0,0,0,0,0,majorité 2-1
